"","str","to","n"
"861",".net developer",".net developer",2
"2591","<U+0430><U+0434><U+043C><U+0438><U+043D><U+0438><U+0441><U+0442><U+0440><U+0430><U+0442><U+043E><U+0440>","administrator",1
"4087","<U+0430><U+0440><U+0445><U+0438><U+0442><U+0435><U+043A><U+0442><U+043E><U+0440>","architect",1
"809","<U+0431><U+0443><U+0445><U+0433><U+0430><U+043B><U+0442><U+0435><U+0440>","accountant",1
"2918","<U+0432><U+0435><U+0434><U+0443><U+0449><U+0438><U+0439> <U+0438><U+043D><U+0436><U+0435><U+043D><U+0435><U+0440>","lead engineer",2
"4088","<U+0432><U+0435><U+0434><U+0443><U+0449><U+0438><U+0439> <U+0441><U+043F><U+0435><U+0446><U+0438><U+0430><U+043B><U+0438><U+0441><U+0442>","leading specialist",2
"3518","<U+0432><U+043B><U+0430><U+0434><U+0435><U+043B><U+0435><U+0446>","owner",1
"4805","<U+0432><U+0440><U+0430><U+0447>","doctor",1
"525","<U+0433><U+0435><U+043D><U+0435><U+0440><U+0430><U+043B><U+044C><U+043D><U+044B><U+0439> <U+0434><U+0438><U+0440><U+0435><U+043A><U+0442><U+043E><U+0440>","ceo",1
"843","<U+0433><U+043B><U+0430><U+0432><U+043D><U+044B><U+0439> <U+0431><U+0443><U+0445><U+0433><U+0430><U+043B><U+0442><U+0435><U+0440>","chief accountant",2
"4089","<U+0433><U+043B><U+0430><U+0432><U+043D><U+044B><U+0439> <U+0438><U+043D><U+0436><U+0435><U+043D><U+0435><U+0440>","chief engineer",2
"2122","<U+0433><U+043B><U+0430><U+0432><U+043D><U+044B><U+0439> <U+0441><U+043F><U+0435><U+0446><U+0438><U+0430><U+043B><U+0438><U+0441><U+0442>","chief specialist",2
"2326","<U+0434><U+0438><U+0437><U+0430><U+0439><U+043D><U+0435><U+0440>","designer",1
"131","<U+0434><U+0438><U+0440><U+0435><U+043A><U+0442><U+043E><U+0440>","director",1
"4415","<U+0434><U+0438><U+0440><U+0435><U+043A><U+0442><U+043E><U+0440> <U+043F><U+043E> <U+0440><U+0430><U+0437><U+0432><U+0438><U+0442><U+0438><U+044E>","director of development",3
"4806","<U+0434><U+0438><U+0440><U+0435><U+043A><U+0442><U+043E><U+0440> <U+043F><U+0440><U+0435><U+0434><U+043F><U+0440><U+0438><U+044F><U+0442><U+0438><U+044F>","enterprise director",2
"1796","<U+0434><U+043E><U+0446><U+0435><U+043D><U+0442>","docent",1
"4416","<U+0437><U+0430><U+043C><U+0435><U+0441><U+0442><U+0438><U+0442><U+0435><U+043B><U+044C> <U+0433><U+0435><U+043D><U+0435><U+0440><U+0430><U+043B><U+044C><U+043D><U+043E><U+0433><U+043E> <U+0434><U+0438><U+0440><U+0435><U+043A><U+0442><U+043E><U+0440><U+0430>","deputy general director",3
"1611","<U+0437><U+0430><U+043C><U+0435><U+0441><U+0442><U+0438><U+0442><U+0435><U+043B><U+044C> <U+0434><U+0438><U+0440><U+0435><U+043A><U+0442><U+043E><U+0440><U+0430>","deputy director",2
"4090","<U+0438><U+043D><U+0434><U+0438><U+0432><U+0438><U+0434><U+0443><U+0430><U+043B><U+044C><U+043D><U+044B><U+0439> <U+043F><U+0440><U+0435><U+0434><U+043F><U+0440><U+0438><U+043D><U+0438><U+043C><U+0430><U+0442><U+0435><U+043B><U+044C>","individual entrepreneur",2
"545","<U+0438><U+043D><U+0436><U+0435><U+043D><U+0435><U+0440>","engineer",1
"4417","<U+0438><U+043D><U+0436><U+0435><U+043D><U+0435><U+0440>-<U+043A><U+043E><U+043D><U+0441><U+0442><U+0440><U+0443><U+043A><U+0442><U+043E><U+0440>","design engineer",2
"3519","<U+0438><U+043D><U+0436><U+0435><U+043D><U+0435><U+0440>-<U+043F><U+0440><U+043E><U+0433><U+0440><U+0430><U+043C><U+043C><U+0438><U+0441><U+0442>","software engineer",2
"4807","<U+0438><U+043D><U+0436><U+0435><U+043D><U+0435><U+0440>-<U+0442><U+0435><U+0445><U+043D><U+043E><U+043B><U+043E><U+0433>","process engineer",2
"2327","<U+0438><U+043F>","ip",1
"3084","<U+0438><U+0441><U+043F><U+043E><U+043B><U+043D><U+0438><U+0442><U+0435><U+043B><U+044C><U+043D><U+044B><U+0439> <U+0434><U+0438><U+0440><U+0435><U+043A><U+0442><U+043E><U+0440>","executive director",2
"1405","<U+043A><U+043E><U+043C><U+043C><U+0435><U+0440><U+0447><U+0435><U+0441><U+043A><U+0438><U+0439> <U+0434><U+0438><U+0440><U+0435><U+043A><U+0442><U+043E><U+0440>","commercial director",2
"3520","<U+043A><U+043E><U+043D><U+0441><U+0443><U+043B><U+044C><U+0442><U+0430><U+043D><U+0442>","consultant",1
"4808","<U+043C><U+0430><U+0440><U+043A><U+0435><U+0442><U+043E><U+043B><U+043E><U+0433>","marketer",1
"270","<U+043C><U+0435><U+043D><U+0435><U+0434><U+0436><U+0435><U+0440>","manager",1
"4418","<U+043C><U+0435><U+043D><U+0435><U+0434><U+0436><U+0435><U+0440> <U+043F><U+043E> <U+043F><U+0435><U+0440><U+0441><U+043E><U+043D><U+0430><U+043B><U+0443>","manager of the staff",4
"1111","<U+043C><U+0435><U+043D><U+0435><U+0434><U+0436><U+0435><U+0440> <U+043F><U+043E> <U+043F><U+0440><U+043E><U+0434><U+0430><U+0436><U+0430><U+043C>","sales manager",2
"3521","<U+043C><U+0435><U+043D><U+0435><U+0434><U+0436><U+0435><U+0440> <U+043F><U+043E> <U+0440><U+0430><U+0431><U+043E><U+0442><U+0435> <U+0441> <U+043A><U+043B><U+0438><U+0435><U+043D><U+0442><U+0430><U+043C><U+0438>","account manager",2
"2592","<U+043D><U+0430><U+0447><U+0430><U+043B><U+044C><U+043D><U+0438><U+043A> <U+043E><U+0442><U+0434><U+0435><U+043B><U+0430>","head of department",3
"4809","<U+043D><U+0430><U+0447><U+0430><U+043B><U+044C><U+043D><U+0438><U+043A> <U+043E><U+0442><U+0434><U+0435><U+043B><U+0430> <U+043F><U+0440><U+043E><U+0434><U+0430><U+0436>","head of sales",3
"3781","<U+043F><U+0435><U+043D><U+0441><U+0438><U+043E><U+043D><U+0435><U+0440>","retiree",1
"2036","<U+043F><U+0440><U+0435><U+0434><U+043F><U+0440><U+0438><U+043D><U+0438><U+043C><U+0430><U+0442><U+0435><U+043B><U+044C>","entrepreneur",1
"1722","<U+043F><U+0440><U+0435><U+043F><U+043E><U+0434><U+0430><U+0432><U+0430><U+0442><U+0435><U+043B><U+044C>","teacher",1
"2221","<U+043F><U+0440><U+043E><U+0433><U+0440><U+0430><U+043C><U+043C><U+0438><U+0441><U+0442>","programmer",1
"4091","<U+043F><U+0440><U+043E><U+0434><U+0430><U+0432><U+0435><U+0446>","seller",1
"3782","<U+043F><U+0440><U+043E><U+0444><U+0435><U+0441><U+0441><U+043E><U+0440>","professor",1
