to,n,from
net developer,2,.net developer
administrator,1,администратор
architect,1,архитектор
accountant,1,бухгалтер
lead engineer,2,ведущий инженер
leading specialist,2,ведущий специалист
owner,1,владелец
doctor,1,врач
ceo,1,генеральный директор
chief accountant,2,главный бухгалтер
chief engineer,2,главный инженер
chief specialist,2,главный специалист
designer,1,дизайнер
director,1,директор
director of development,3,директор по развитию
enterprise director,2,директор предприятия
docent,1,доцент
deputy general director,3,заместитель генерального директора
deputy director,2,заместитель директора
individual entrepreneur,2,индивидуальный предприниматель
engineer,1,инженер
design engineer,2,инженер-конструктор
software engineer,2,инженер-программист
process engineer,2,инженер-технолог
executive director,2,исполнительный директор
commercial director,2,коммерческий директор
consultant,1,консультант
marketer,1,маркетолог
manager,1,менеджер
manager of the staff,4,менеджер по персоналу
sales manager,2,менеджер по продажам
account manager,2,менеджер по работе с клиентами
head of department,3,начальник отдела
head of sales,3,начальник отдела продаж
retiree,1,пенсионер
entrepreneur,1,предприниматель
teacher,1,преподаватель
programmer,1,программист
seller,1,продавец
professor,1,профессор
psychologist,1,психолог
regional manager,2,региональный менеджер
leader,1,руководитель
sales manager,2,руководитель отдела продаж
project manager,2,руководитель проекта
system administrator,2,системный администратор
specialist,1,специалист
territorial manager,2,территориальный менеджер
technical director,2,технический директор
manager,1,управляющий
managing director,2,управляющий директор
teacher,1,учитель
economist,1,экономист
lawyer,1,юрист
accountant,1,محاسب
manager,1,مدير
engineer,1,مهندس
unemployed,1,なし
business,1,业务
salesman,1,业务员
business manager,2,业务经理
self employed,2,个体经营
director,1,主任
supervisor,1,主管
product manager,2,产品经理
representative,1,代表
ceo,1,代表取締役
accounting,1,会计
deputy general manager,3,副总经理
deputy manager,2,副经理
assistant manager,2,助理
assistant engineer,2,助理工程师
regional manager,2,区域经理
doctor,1,医生
chief,1,厨师
driver,1,司机
partner,1,合伙人
staff,1,员工
foreign trade clerk,3,外贸业务员
student,1,学生
intern,1,实习生
account manager,2,客户经理
customer service,2,客服
worker,1,工人
engineer,1,工程师
engineer,1,工程師
owner,1,店主
store manager,2,店长
micro-business,1,微商
director,1,总监
general manager,2,总经理
assistant to the general manager,5,总经理助理
technician,1,技术员
technician,1,技术员工
technical director,2,技术总监
nurse,1,护士
operator,1,操作工
teacher,1,教师
construction worker,2,施工员
unemployed,2,无工作
general workers,2,普工
waiter,1,服务员
headhunting consultant,2,猎头顾问
clerk,1,科员
manager,1,經理
team leader,2,组长
manager,1,经理
assistant manager,2,经理助理
maintenance staff,2,维护员
editor,1,编辑
teacher,1,老师
boss,1,老板
clerk,1,职员
clerk,1,职工
freelancer,1,自由职业
marketing manager,2,营销经理
chairman,1,董事长
designer,1,设计师
finance,1,财务
financial manager,2,财务经理
software engineer,2,软件工程师
director of operations,3,运营总监
minister,1,部長
department manager,2,部门经理
purchasing manager,2,采购经理
sales,1,销售
sales executive,2,销售主管
sales representative,2,销售代表
seller,1,销售员
director of sales,3,销售总监
sales manager,2,销售经理
project manager,2,项目经理
consultant,1,顾问
foreman,1,领班
exaggeration,1,과장
substitute,1,대리
representation,1,대표
director,1,부장
temple,1,사원
mover,1,이사
conductor,1,차장
team leader,2,팀장
teacher,3,1st grade teacher
engineer,2,2nd engineer
teacher,3,2nd grade teacher
officer,2,2nd officer
animator,2,3d animator
artist,2,3d artist
designer,2,3d designer
engineer,2,3rd engineer
teacher,3,3rd grade teacher
officer,2,3rd officer
teacher,3,4th grade teacher
teacher,3,5th grade teacher
administrative assistant,1,aa
able seaman,2,able seaman
lawyer,1,abogada
attorney,1,abogado
academic advisor,2,academic advisor
academic counselor,2,academic counselor
academic tutor,2,academic tutor
accounts,1,account
accounts assistant,2,account assistant
account associate,2,account associate
accounting clerk,2,account clerk
account coordinator,2,account coordinator
account delivery manager,3,account delivery manager
account director,2,account director
account executive,2,account executive
account management intern,3,account management intern
account manager,2,account manager
accounts officer,2,account officer
account representative,2,account representative
account specialist,2,account specialist
account supervisor,2,account supervisor
accountant,1,accountant
accountant assistant,2,accountant assistant
accounting,1,accounting
accounting analyst,2,accounting analyst
accounting assistant,2,accounting assistant
accounting associate,2,accounting associate
accounting clerk,2,accounting clerk
accounting consultant,2,accounting consultant
accounting intern,2,accounting intern
accounting manager,2,accounting manager
accounting officer,2,accounting officer
accounting specialist,2,accounting specialist
accounting staff,2,accounting staff
accounting supervisor,2,accounting supervisor
accounting technician,2,accounting technician
account manager,2,accountmanager
accounts,1,accounts
accounts administrator,2,accounts administrator
accounts assistant,2,accounts assistant
accounting clerk,2,accounts clerk
account executive,2,accounts executive
account manager,2,accounts manager
accounts officer,2,accounts officer
accounts payable,2,accounts payable
accounts payable administrator,3,accounts payable administrator
accounts payable analyst,3,accounts payable analyst
accounts payable clerk,3,accounts payable clerk
accounts payable coordinator,3,accounts payable coordinator
accounts payable manager,3,accounts payable manager
accounts payable specialist,3,accounts payable specialist
accounts payable supervisor,3,accounts payable supervisor
accounts receivable,2,accounts receivable
accounts receivable clerk,3,accounts receivable clerk
accounts receivable manager,3,accounts receivable manager
accounts receivable specialist,3,accounts receivable specialist
accounts receivable supervisor,3,accounts receivable supervisor
buyer,1,acheteur
activities coordinator,2,activities coordinator
activities director,2,activities director
activity director,2,activity director
actor,1,actor
actress,1,actress
actress,1,actriz
actuarial analyst,2,actuarial analyst
actuarial intern,2,actuarial intern
actuary,1,actuary
advertising,1,ad
sales clerk,2,addetta alle vendite
sales clerk,2,addetto alle vendite
administrative assistant,2,adjoint administratif
administrative assistant,2,adjointe administrative
executive assistant,2,adjointe de direction
adjunct,1,adjunct
adjunct assistant professor,3,adjunct assistant professor
adjunct faculty,2,adjunct faculty
adjunct instructor,2,adjunct instructor
adjunct lecturer,2,adjunct lecturer
adjunct professor,2,adjunct professor
assistant professor,2,adjunkt
administrator,1,adm
administrator,1,admin
admin assistant,2,admin assistant
admin asst,2,admin asst
admin clerk,2,admin clerk
admin executive,2,admin executive
admin manager,2,admin manager
admin officer,2,admin officer
administrator,1,administracion
administrator,1,administración
administrator,1,administrador
network administrator,2,administrador de redes
systems administrator,2,administrador de sistemas
general administrator,2,administrador general
administrator,1,administradora
administrator,1,administrasi
administrator,1,administrateur
administrative assistant,2,administratief medewerker
administrative assistant,2,administratief medewerkster
administrator,1,administration
administration assistant,2,administration assistant
administration manager,2,administration manager
administration officer,2,administration officer
administrator,1,administrativa
administrator,1,administrative
administrative assistant,2,administrative assistant
administrative assistant and receptionist,4,administrative assistant and receptionist
administrative assistant,2,administrative assistant ii
administrative associate,2,administrative associate
administrative clerk,2,administrative clerk
administrative coordinator,2,administrative coordinator
administrative director,2,administrative director
administrative executive,2,administrative executive
administrative intern,2,administrative intern
administrative manager,2,administrative manager
administrative officer,2,administrative officer
administrative secretary,2,administrative secretary
administrative specialist,2,administrative specialist
administrative supervisor,2,administrative supervisor
administrative support,2,administrative support
administrator,1,administrativo
accounting administrative,2,administrativo contable
administrative officer,2,administrativo de oficina
administrator,1,administrator
administrator,1,administratör
adminstrative assistant,2,adminstrative assistant
administrator,1,adminstrator
admissions assistant,2,admissions assistant
admissions counselor,2,admissions counselor
admissions representative,2,admissions representative
advertising,1,advertising
advertising director,2,advertising director
advertising executive,2,advertising executive
advertising manager,2,advertising manager
advertising sales,2,advertising sales
counselor,1,adviser
counselor,1,adviseur
private adviser,2,adviseur particulieren
advisor,1,advisor
advisory board member,3,advisory board member
lawyer,1,advocaat
advocate,1,advocate
lawyer,1,advogada
lawyer,1,advogado
department head,2,afdelingshoofd
department manager,2,afdelingsleder
graduation internship,2,afstudeerstage
owner,1,ägare
agency manager,2,agency manager
agency owner,2,agency owner
agent,1,agent
administrative agent,2,agent administratif
agent commercial,2,agent commercial
home agent,2,agent d'accueil
supervisor,1,agent de maitrise
real estate agent,3,agent immobilier
agent,1,agente
administrative agent,2,agente administrativo
comercial agent,2,agente comercial
service agent,2,agente de atendimento
insurance agent,2,agente de seguros
sales agent,2,agente de ventas
travel agent,2,agente de viagens
travel agent,2,agente de viajes
trade agent,2,agente di commercio
sales agent,2,agente di vendita
estate agent,2,agente inmobiliario
agronomist,1,agronomist
agronomist,1,agronomo
artifical intelligence,1,AI
accounting assistant,2,aide comptable
caregiver,1,aide soignante
pilot,2,air diver
air traffic controller,3,air traffic controller
aircraft engineer,2,aircraft engineer
aircraft maintenance engineer,3,aircraft maintenance engineer
aircraft maintenance technician,3,aircraft maintenance technician
aircraft mechanic,2,aircraft mechanic
aircraft technician,2,aircraft technician
general assistant,2,ajudante geral
builder,1,albañil
managing director,2,algemeen directeur
allround employee,2,allround medewerker
seller,1,almacenista
stockroom,1,almoxarife
student,1,aluno
housewife,1,ama de casa
ambassador,1,ambassador
administrator,1,amministratore
ceo,1,amministratore delegato
sole director,2,amministratore unico
analyst,1,analist
analyst,1,analista
administrative analyst,2,analista administrativo
environmental analyst,2,analista ambiental
commercial analyst,2,analista comercial
accounting analyst,2,analista contabil
accounting analyst,2,analista contábil
accounting analyst,2,analista contable
quality analyst,2,analista da qualidade
shopping analyst,2,analista de compras
credit analyst,2,analista de credito
logistics analyst,2,analista de logística
marketing analyst,2,analista de marketing
pcp analyst,2,analista de pcp
process analyst,2,analista de processos
project analyst,2,analista de projetos
quality analyst,2,analista de qualidade
human resources analyst,3,analista de recursos humanos
rh analyst,2,analista de rh
systems analyst,2,analista de sistema
systems analyst,2,analista de sistemas
support analyst,2,analista de suporte
technical support analyst,3,analista de suporte técnico
test analyst,2,analista de teste
it analyst,3,analista de ti
sales analyst,2,analista de vendas
financial analyst,2,analista financeiro
financial analyst,2,analista financiero
tax analyst,2,analista fiscal
functional analyst,2,analista funcional
analyst programmer,2,analista programador
analyst programmer,2,analista programmatore
senior analyst,2,analista senior
analyst,1,analyst
analyst and programmer,3,analyst and programmer
analyst developer,2,analyst developer
analyst intern,2,analyst intern
analyst programs,2,analyst programmer
analyst developer,2,analyste développeur
financial analyst,2,analyste financier
analyst programmer,2,analyste programmeur
analytical chemist,2,analytical chemist
android developer,2,android developer
anesthesiologist,1,anesthesiologist
employee,1,angestellte
employee,1,angestellter
animator,1,animateur
animator,1,animator
animator,1,animatrice
retired,1,aposentada
retired,1,aposentado
application analyst,2,application analyst
application consultant,2,application consultant
application developer,2,application developer
application engineer,2,application engineer
application manager,2,application manager
application programmer,2,application programmer
application specialist,2,application specialist
application support analyst,3,application support analyst
application support engineer,3,application support engineer
application developer,2,applications developer
application engineer,2,applications engineer
appointment setter,2,appointment setter
appraiser,1,appraiser
apprentice,1,apprenti
apprentice,1,apprentice
apprentice electrician,2,apprentice electrician
apprenticeship,1,apprenticeship
apprentice,1,aprendiz
supervisor,1,arbetsledare
architect,1,architect
architect,1,architecte
architectural assistant,2,architectural assistant
architectural designer,2,architectural designer
architectural intern,2,architectural intern
architectural project manager,3,architectural project manager
architectural technician,2,architectural technician
architect,1,architecture
architect,1,architekt
architect,1,architetto
archivist,1,archivist
archivist,1,archivista
archivist,1,archiviste
area business manager,3,area business manager
area coordinator,2,area coordinator
area director,2,area director
area manager,2,area manager
area sales executive,3,area sales executive
area sales manager,3,area sales manager
area sales representative,3,area sales representative
area supervisor,2,area supervisor
architect,1,arkitekt
armed security officer,3,armed security officer
army,1,army
army officer,2,army officer
architect,1,arquitecta
architect,1,arquitecto
technical architect,2,arquitecto técnico
architect,1,arquiteta
architect,1,arquiteto
art director,2,art director
art instructor,2,art instructor
art teacher,2,art teacher
art therapist,2,art therapist
article assistant,2,article assistant
article clerk,2,article clerk
article trainee,2,article trainee
article assistant,2,articled assistant
artifical intelligence,1,artifical intelligence
artisan,1,artigiano
artisan,1,artisan
artist,1,artist
artist in residence,3,artist in residence
artist,1,artista
artist,1,artiste
painter,1,artiste peintre
artistic director,2,artistic director
doctor,1,arzt
adviser,1,asesor
business advisor,2,asesor comercial
sales advisor,2,asesor de ventas
computer advisor it and technology matters,6,asesor en computación asuntos informáticos y tecnologicos
financial advisor,2,asesor financiero
real estate advisor,3,asesor inmobiliario
legal advisor,2,asesor jurídico
adviser,1,asesora
business advisor,2,asesora comercial
sales advisor,2,asesora de ventas
assistant,1,asistente
administrative assistant,2,asistente administrativa
administrative assistant,2,asistente administrativo
commercial assistant,2,asistente comercial
accounting assistant,2,asistente contable
accounting assistant,2,asistente de contabilidad
management assistant,2,asistente de dirección
management assistant,2,asistente de gerencia
research assistant,2,asistente de investigación
marketing assistant,2,asistente de marketing
operations assistant,2,asistente de operaciones
production assistant,2,asistente de produccion
production assistant,2,asistente de producción
assistant human resources,3,asistente de recursos humanos
sales assistant,2,asistente de ventas
legal assistant,2,asistente legal
associate,1,asociado
assembler,1,assembler
assembly line worker,3,assembly line worker
assembly technician,2,assembly technician
assessor,1,assessor
assessor,1,assessora
communications adviser,2,assessora de comunicação
press advisor,2,assessora de imprensa
assistant manager,2,asset manager
assistant,1,assistant
assistant account executive,3,assistant account executive
assistant account manager,3,assistant account manager
assistant accountant,2,assistant accountant
assistant architect,2,assistant architect
assistant art director,3,assistant art director
assistant attorney general,3,assistant attorney general
assistant editor,2,assistant auditor
assistant branch manager,3,assistant branch manager
assistant branch manager,3,assistant brand manager
assistant buyer,2,assistant buyer
assistant manager,3,assistant chef de projet
assistant coach,2,assistant coach
commercial assistant,2,assistant commercial
assistant company secretary,3,assistant company secretary
accounting assistant,2,assistant comptable
assistant consultant,2,assistant consultant
assistant controller,2,assistant controller
assistant designer,2,assistant designer
assistant director,2,assistant direction
assistant director,2,assistant director
assistant director of admissions,4,assistant director of admissions
assistant driller,2,assistant driller
assistant editor,2,assistant editor
assistant engineer,2,assistant engineer
assistant finance manager,3,assistant finance manager
assistant financial controller,3,assistant financial controller
assistant football coach,3,assistant football coach
assistant front office manager,4,assistant front office manager
assistant general counsel,3,assistant general counsel
assistant general manager,3,assistant general manager
assistant golf professional,3,assistant golf professional
assistant lecturer,2,assistant lecturer
assistant librarian,2,assistant librarian
assistant management accountant,3,assistant management accountant
assistant manager,2,assistant manager
assistant finance manager,3,assistant manager finance
assistant manager operations,3,assistant manager operations
marketing assistant,2,assistant marketing
assistant marketing manager,3,assistant marketing manager
assistant merchandiser,2,assistant merchandiser
assistant office manager,3,assistant office manager
assistant operations manager,3,assistant operations manager
assistant photographer,2,assistant photographer
assistant planner,2,assistant planner
assistant principal,2,assistant principal
assistant producer,2,assistant producer
assistant product manager,3,assistant product manager
assistant product manager,3,assistant production manager
assistant professor,2,assistant professor
assistant project manager,3,assistant project manager
assistant property manager,3,assistant property manager
quantity supervisor assistant,3,assistant quantity surveyor
assistant researcher,2,assistant researcher
assistant resident engineer,3,assistant resident engineer
assistant restaurant manager,3,assistant restaurant manager
assistant sales manager,3,assistant sales manager
assistant scientist,2,assistant scientist
assistant secretary,2,assistant secretary
assistant service manager,3,assistant service manager
assistant store manager,3,assistant store manager
assistant superintendent,2,assistant superintendent
assistant supervisor,2,assistant supervisor
assistant system engineer,3,assistant system engineer
assistant system engineer,3,assistant systems engineer
assistant professor,2,assistant teacher
assistant to the president,4,assistant to the president
assistant vice president,3,assistant vice president
assistant,1,assistante
administrative assistant,2,assistante administrative
assistant project manager,3,assistante chef de projet
commercial assistant,2,assistante commerciale
communications assistant,2,assistante communication
accounting assistant,2,assistante comptable
executive assistant,2,assistante de direction
management assistant,2,assistante de gestion
research assistant,2,assistante de recherche
marketing assistant,2,assistante marketing
human resources assistant,3,assistante ressources humaines
hr assistant,2,assistante rh
social worker,2,assistante sociale
assistant,1,assistent
assistant accountant,2,assistent accountant
assistant controller,2,assistent controller
assistant manager,2,assistent manager
assistant,1,assistente
administrative assistant,2,assistente administrativa
administrative assistant,2,assistente administrativo
commercial assistant,2,assistente comercial
accounting assistant,2,assistente contábil
shopping assistant,2,assistente de compras
personal assistant,2,assistente de departamento pessoal
logistic assistant,2,assistente de logística
marketing assistant,2,assistente de marketing
production assistant,2,assistente de produção
human resources assistant,3,assistente de recursos humanos
hr assistant,3,assistente de rh
sales assistant,2,assistente de vendas
assistant manager,2,assistente di direzione
financial assistant,2,assistente financeiro
social worker,2,assistente fiscal
legal assistant,2,assistente jurídico
operational assistant,2,assistente operacional
social worker,2,assistente social
technical assistant,2,assistente técnico
assistant,1,assistentin
assistant manager,2,assitant manager
associate,1,associate
associate analyst,2,associate analyst
associate architect,2,associate architect
associate attorney,2,associate attorney
associate broker,2,associate broker
associate consultant,2,associate consultant
associate counsel,2,associate counsel
associate creative director,3,associate creative director
associate designer,2,associate designer
associate director,2,associate director
associate editor,2,associate editor
associate engineer,2,associate engineer
associate financial representative,3,associate financial representative
associate lawyer,2,associate lawyer
associate lecturer,2,associate lecturer
associate manager,2,associate manager
associate partner,2,associate partner
associate pastor,2,associate pastor
associate planner,2,associate planner
associate producer,2,associate producer
associate product manager,3,associate product manager
associate prof.,2,associate prof.
associate professor,2,associate professor
associate project manager,3,associate project manager
associate recruiter,2,associate recruiter
associate scientist,2,associate scientist
associate software developer,3,associate software developer
associate software engineer,3,associate software engineer
associate system engineer,3,associate system engineer
associate veterinarian,2,associate veterinarian
associate vice president,3,associate vice president
associate,1,associé
assistant manager,2,asst manager
assistant professor,2,asst professor
assistant manager,2,asst. manager
assistant professor,2,asst. professor
asstistant vice president,3,asst. vice president
assistant manager,2,asst.manager
