"n","org_trans","stemm","tokens1","tokens2","tokens3","tokens4","tokens5"
2,"net developer","net develop","net","develop",NA,NA,NA
1,"administrator","administr","administr",NA,NA,NA,NA
1,"architect","architect","architect",NA,NA,NA,NA
1,"accountant","account","account",NA,NA,NA,NA
2,"lead engineer","lead engin","lead","engin",NA,NA,NA
2,"leading specialist","lead specialist","lead","specialist",NA,NA,NA
1,"owner","owner","owner",NA,NA,NA,NA
1,"doctor","doctor","doctor",NA,NA,NA,NA
1,"ceo","ceo","ceo",NA,NA,NA,NA
2,"chief accountant","chief account","chief","account",NA,NA,NA
2,"chief engineer","chief engin","chief","engin",NA,NA,NA
2,"chief specialist","chief specialist","chief","specialist",NA,NA,NA
1,"designer","design","design",NA,NA,NA,NA
1,"director","director","director",NA,NA,NA,NA
3,"director of development","director of develop","director","develop",NA,NA,NA
2,"enterprise director","enterpris director","enterpris","director",NA,NA,NA
1,"docent","docent","docent",NA,NA,NA,NA
3,"deputy general director","deputi general director","deputi","general","director",NA,NA
2,"deputy director","deputi director","deputi","director",NA,NA,NA
2,"individual entrepreneur","individu entrepreneur","individu","entrepreneur",NA,NA,NA
1,"engineer","engin","engin",NA,NA,NA,NA
2,"design engineer","design engin","design","engin",NA,NA,NA
2,"software engineer","softwar engin","softwar","engin",NA,NA,NA
2,"process engineer","process engin","process","engin",NA,NA,NA
2,"executive director","execut director","execut","director",NA,NA,NA
2,"commercial director","commerci director","commerci","director",NA,NA,NA
1,"consultant","consult","consult",NA,NA,NA,NA
1,"marketer","market","market",NA,NA,NA,NA
1,"manager","manag","manag",NA,NA,NA,NA
4,"manager of the staff","manag of the staff","manag","staff",NA,NA,NA
2,"sales manager","sale manag","sale","manag",NA,NA,NA
2,"account manager","account manag","account","manag",NA,NA,NA
3,"head of department","head of depart","head","depart",NA,NA,NA
3,"head of sales","head of sale","head","sale",NA,NA,NA
1,"retiree","retire","retire",NA,NA,NA,NA
1,"entrepreneur","entrepreneur","entrepreneur",NA,NA,NA,NA
