"original","translation"
"--","--"
"---","---"
"..",".."
"...","..."
"....","...."
".net developer",".net developer"
"<U+0430><U+0434><U+043C><U+0438><U+043D><U+0438><U+0441><U+0442><U+0440><U+0430><U+0442><U+043E><U+0440>","administrator"
"<U+0430><U+0440><U+0445><U+0438><U+0442><U+0435><U+043A><U+0442><U+043E><U+0440>","architect"
"<U+0431><U+0443><U+0445><U+0433><U+0430><U+043B><U+0442><U+0435><U+0440>","accountant"
"<U+0432><U+0435><U+0434><U+0443><U+0449><U+0438><U+0439> <U+0438><U+043D><U+0436><U+0435><U+043D><U+0435><U+0440>","lead engineer"
"<U+0432><U+0435><U+0434><U+0443><U+0449><U+0438><U+0439> <U+0441><U+043F><U+0435><U+0446><U+0438><U+0430><U+043B><U+0438><U+0441><U+0442>","leading specialist"
"<U+0432><U+043B><U+0430><U+0434><U+0435><U+043B><U+0435><U+0446>","owner"
"<U+0432><U+0440><U+0430><U+0447>","doctor"
"<U+0433><U+0435><U+043D><U+0435><U+0440><U+0430><U+043B><U+044C><U+043D><U+044B><U+0439> <U+0434><U+0438><U+0440><U+0435><U+043A><U+0442><U+043E><U+0440>","ceo"
"<U+0433><U+043B><U+0430><U+0432><U+043D><U+044B><U+0439> <U+0431><U+0443><U+0445><U+0433><U+0430><U+043B><U+0442><U+0435><U+0440>","chief accountant"
"<U+0433><U+043B><U+0430><U+0432><U+043D><U+044B><U+0439> <U+0438><U+043D><U+0436><U+0435><U+043D><U+0435><U+0440>","chief engineer"
"<U+0433><U+043B><U+0430><U+0432><U+043D><U+044B><U+0439> <U+0441><U+043F><U+0435><U+0446><U+0438><U+0430><U+043B><U+0438><U+0441><U+0442>","chief specialist"
"<U+0434><U+0438><U+0437><U+0430><U+0439><U+043D><U+0435><U+0440>","designer"
"<U+0434><U+0438><U+0440><U+0435><U+043A><U+0442><U+043E><U+0440>","director"
"<U+0434><U+0438><U+0440><U+0435><U+043A><U+0442><U+043E><U+0440> <U+043F><U+043E> <U+0440><U+0430><U+0437><U+0432><U+0438><U+0442><U+0438><U+044E>","director of development"
"<U+0434><U+0438><U+0440><U+0435><U+043A><U+0442><U+043E><U+0440> <U+043F><U+0440><U+0435><U+0434><U+043F><U+0440><U+0438><U+044F><U+0442><U+0438><U+044F>","enterprise director"
"<U+0434><U+043E><U+0446><U+0435><U+043D><U+0442>","docent"
"<U+0437><U+0430><U+043C><U+0435><U+0441><U+0442><U+0438><U+0442><U+0435><U+043B><U+044C> <U+0433><U+0435><U+043D><U+0435><U+0440><U+0430><U+043B><U+044C><U+043D><U+043E><U+0433><U+043E> <U+0434><U+0438><U+0440><U+0435><U+043A><U+0442><U+043E><U+0440><U+0430>","deputy general director"
"<U+0437><U+0430><U+043C><U+0435><U+0441><U+0442><U+0438><U+0442><U+0435><U+043B><U+044C> <U+0434><U+0438><U+0440><U+0435><U+043A><U+0442><U+043E><U+0440><U+0430>","deputy director"
