Owner	0	OVERSIGHT
General Manager	0	OVERSIGHT
Director	0	OVERSIGHT
Chief	0	OVERSIGHT
founder	0	OVERSIGHT
partner	0	OVERSIGHT
Marketing	4569	MARKETING
Sales	3359	MARKETING
Operations	1104	OPERATIONS
Finance	1088	ACCOUNTING
Business Development	897	BUSINESS
Communications	837	MANAGEMENT
Planning	831	BUSINESS
R&D	800	TECHNOLOGY
HR	752	HR
Media	649	MARKETING
Design	639	MARKETING
Events	628	MARKETING
Training	603	HR
Service	601	MARKETING
Strategy	572	BUSINESS
Research	546	TECHNOLOGY
Safety	519	OPERATIONS
Financial	495	ACCOUNTING
Web	469	TECHNOLOGY
PR	467	MANAGEMENT
Health	457	HR
Graphic	446	MARKETING
Social Media	409	MARKETING
Support	397	MARKETING
Accounting	395	ACCOUNTING
Production	388	PRODUCTION
Logistics	383	OPERATIONS
IT	373	TECHNOLOGY
Compliance	345	OVERSIGHT
Corporate	336	BUSINESS
Communication	332	MANAGEMENT
Food	278	OPERATIONS
Services	268	HR
Engineering	258	TECHNOLOGY
Customer Service	252	MARKETING
Software	249	TECHNOLOGY
Human Resources	243	HR
Risk	242	OVERSIGHT
Technology	222	TECHNOLOGY
Recruitment	219	HR
Beverage	211	OPERATIONS
Legal	201	LEGAL
Procurement	195	OPERATIONS
Systems	193	TECHNOLOGY
Network	192	TECHNOLOGY
Audit	188	ACCOUNTING
Community	186	MARKETING
Commercial	185	BUSINESS
Security	175	OPERATIONS
Payroll	168	HR
Reporting	164	ACCOUNTING
Purchasing	162	OPERATIONS
Financial Planning	161	ACCOUNTING
Brand	158	MARKETING
Compensation	157	HR
Tax	143	ACCOUNTING
Analytics	143	BUSINESS
Maintenance	139	OPERATIONS
Art	133	PRODUCTION
Advertising	132	MARKETING
Digital Marketing	131	MARKETING
Supply Chain	125	OPERATIONS
Promotions	125	MARKETING
Credit	123	ACCOUNTING
Communicatie	119	MANAGEMENT
Electrical	118	OPERATIONS
Acquisitions	116	OPERATIONS
Facilities	112	OPERATIONS
Contracts	106	LEGAL
Education	105	HR
Distribution	102	OPERATIONS
Investment	101	ACCOUNTING
marketing	99	MARKETING
Banking	99	ACCOUNTING
Strategic	97	BUSINESS
Catering	95	OPERATIONS
Property	92	BUSINESS
Policy	91	MANAGEMENT
Insurance	90	ACCOUNTING
Mergers	88	ACCOUNTING
Instrumentation	87	PRODUCTION
Outreach	86	MARKETING
Construction	86	PRODUCTION
SEO	85	MARKETING
Market	85	BUSINESS
Innovation	85	BUSINESS
Recruiting	83	HR
Merchandising	83	MARKETING
Quality Assurance	79	PRODUCTION
Fundraising	74	MARKETING
Inventory	73	OPERATIONS
Membership	72	MARKETING
UX	70	TECHNOLOGY
Science	70	TECHNOLOGY
Leasing	70	OPERATIONS
Graphic Design	70	MARKETING
Special Events	68	MARKETING
Environment	67	OVERSIGHT
Export	66	OPERATIONS
Warehouse	64	OPERATIONS
Visual	64	MARKETING
Operation	64	OPERATIONS
Collections	64	ACCOUNTING
Pricing	63	BUSINESS
Delivery	63	OPERATIONS
Culture	62	HR
Travel	60	OPERATIONS
